Wavelength	Actinix_flux	Br2	BrO	HOBr	BrNO2	BrNO3
5.03E+02	4.94E+14	3.01E-19	0.00E+00	2.60E-21	0.00E+00	0.00E+00
5.04E+02	4.65E+14	2.96E-19	0.00E+00	2.36E-21	0.00E+00	0.00E+00
5.05E+02	4.95E+14	2.90E-19	0.00E+00	2.12E-21	0.00E+00	0.00E+00
5.06E+02	5.16E+14	2.85E-19	0.00E+00	1.95E-21	0.00E+00	0.00E+00
5.07E+02	4.94E+14	2.79E-19	0.00E+00	1.79E-21	0.00E+00	0.00E+00
5.08E+02	4.81E+14	2.73E-19	0.00E+00	1.62E-21	0.00E+00	0.00E+00
5.09E+02	5.04E+14	2.68E-19	0.00E+00	1.46E-21	0.00E+00	0.00E+00
5.10E+02	4.90E+14	2.62E-19	0.00E+00	1.29E-21	0.00E+00	0.00E+00
5.11E+02	4.99E+14	2.56E-19	0.00E+00	1.18E-21	0.00E+00	0.00E+00
5.12E+02	5.13E+14	2.50E-19	0.00E+00	1.08E-21	0.00E+00	0.00E+00
5.13E+02	4.82E+14	2.45E-19	0.00E+00	9.72E-22	0.00E+00	0.00E+00
5.14E+02	4.72E+14	2.39E-19	0.00E+00	8.66E-22	0.00E+00	0.00E+00
5.15E+02	4.86E+14	2.34E-19	0.00E+00	7.60E-22	0.00E+00	0.00E+00
5.16E+02	4.91E+14	2.28E-19	0.00E+00	6.92E-22	0.00E+00	0.00E+00
5.17E+02	4.01E+14	2.22E-19	0.00E+00	6.24E-22	0.00E+00	0.00E+00
5.18E+02	4.59E+14	2.17E-19	0.00E+00	5.56E-22	0.00E+00	0.00E+00
5.19E+02	4.45E+14	2.12E-19	0.00E+00	4.88E-22	0.00E+00	0.00E+00
5.20E+02	4.87E+14	2.06E-19	0.00E+00	4.20E-22	0.00E+00	0.00E+00
5.21E+02	4.91E+14	2.01E-19	0.00E+00	3.82E-22	0.00E+00	0.00E+00
5.22E+02	5.03E+14	1.96E-19	0.00E+00	3.44E-22	0.00E+00	0.00E+00
5.23E+02	4.75E+14	1.90E-19	0.00E+00	3.06E-22	0.00E+00	0.00E+00
5.24E+02	5.12E+14	1.85E-19	0.00E+00	2.68E-22	0.00E+00	0.00E+00
5.25E+02	5.10E+14	1.80E-19	0.00E+00	2.30E-22	0.00E+00	0.00E+00
5.26E+02	4.96E+14	1.76E-19	0.00E+00	2.08E-22	0.00E+00	0.00E+00
5.27E+02	4.35E+14	1.71E-19	0.00E+00	1.86E-22	0.00E+00	0.00E+00
5.28E+02	5.00E+14	1.66E-19	0.00E+00	1.64E-22	0.00E+00	0.00E+00
5.29E+02	5.24E+14	1.61E-19	0.00E+00	1.42E-22	0.00E+00	0.00E+00
5.30E+02	5.05E+14	1.57E-19	0.00E+00	1.20E-22	0.00E+00	0.00E+00
5.31E+02	5.33E+14	1.52E-19	0.00E+00	1.08E-22	0.00E+00	0.00E+00
5.32E+02	5.24E+14	1.48E-19	0.00E+00	9.56E-23	0.00E+00	0.00E+00
5.33E+02	4.69E+14	1.44E-19	0.00E+00	8.34E-23	0.00E+00	0.00E+00
5.34E+02	5.03E+14	1.40E-19	0.00E+00	7.12E-23	0.00E+00	0.00E+00
5.35E+02	5.10E+14	1.36E-19	0.00E+00	5.90E-23	0.00E+00	0.00E+00
5.36E+02	5.33E+14	1.32E-19	0.00E+00	5.30E-23	0.00E+00	0.00E+00
5.37E+02	4.93E+14	1.28E-19	0.00E+00	4.70E-23	0.00E+00	0.00E+00
5.38E+02	5.18E+14	1.24E-19	0.00E+00	4.10E-23	0.00E+00	0.00E+00
5.39E+02	5.06E+14	1.21E-19	0.00E+00	3.50E-23	0.00E+00	0.00E+00
5.40E+02	4.89E+14	1.17E-19	0.00E+00	2.90E-23	0.00E+00	0.00E+00
5.41E+02	4.72E+14	1.14E-19	0.00E+00	2.58E-23	0.00E+00	0.00E+00
5.42E+02	5.15E+14	1.10E-19	0.00E+00	2.26E-23	0.00E+00	0.00E+00
5.43E+02	5.06E+14	1.07E-19	0.00E+00	1.94E-23	0.00E+00	0.00E+00
